Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-03-04,2015,3,4,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,09,2015-09,210.4,210.49,209.06,210.23,114497200.0,187.81,-0.004215790550529119,188.2585714285714,183.8364285714286
2015-03-05,2015,3,5,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,09,2015-09,210.62,210.8,209.85,210.46,76873000.0,188.02,0.0010941977701537375,188.35714285714283,183.9337209302326
2015-03-06,2015,3,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,09,2015-09,209.42,209.94,207.1,207.5,188128000.0,185.37,-0.014064485645992275,188.21142857142854,183.96636363636367
2015-03-09,2015,3,9,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,10,2015-10,207.74,208.79,207.55,208.36,89818900.0,186.14,0.004144632120273384,188.09928571428568,184.0146666666667
2015-03-10,2015,3,10,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,10,2015-10,206.71,206.81,204.93,204.98,157121300.0,183.12,-0.016222045633284776,187.77071428571426,183.9952173913044
2015-03-11,2015,3,11,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,10,2015-10,205.29,205.5,204.4,204.5,110145700.0,182.69,-0.0023417689454640067,187.42071428571424,183.96744680851072
2015-03-12,2015,3,12,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,10,2015-10,205.26,207.18,205.2,207.1,93993500.0,185.02,0.012713938268181568,187.15642857142853,183.98937500000008
2015-03-13,2015,3,13,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,10,2015-10,206.77,207.93,204.58,205.83,162410900.0,183.88,-0.0061319694638609645,186.81285714285713,183.9871428571429
2015-03-16,2015,3,16,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,11,2015-11,206.71,208.69,205.86,208.58,136099200.0,186.34,0.013360354156223053,186.60642857142855,184.03420000000006
2015-03-17,2015,3,17,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,11,2015-11,207.69,208.42,206.98,207.96,94510400.0,185.79,-0.002972414415444269,186.37285714285713,184.07940000000005
2015-03-18,2015,3,18,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,11,2015-11,207.39,211.27,206.62,210.46,228808500.0,188.02,0.012021525898516128,186.3142857142857,184.2356000000001
2015-03-19,2015,3,19,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,11,2015-11,209.96,210.47,209.03,209.5,117917300.0,187.16,-0.004561424096632183,186.23999999999998,184.4086000000001
2015-03-20,2015,3,20,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,11,2015-11,209.71,211.02,209.49,210.41,177715100.0,188.81,0.008827047316759762,186.1985714285714,184.57000000000008
2015-03-23,2015,3,23,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,12,2015-12,210.42,211.11,210.0,210.0,71784500.0,188.45,-0.0019486679186371259,186.18714285714282,184.66000000000008
2015-03-24,2015,3,24,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,12,2015-12,209.85,210.4,208.74,208.82,77805300.0,187.39,-0.005618956012968801,186.15714285714282,184.75840000000008
2015-03-25,2015,3,25,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,12,2015-12,209.07,209.35,205.71,205.76,159521700.0,184.64,-0.014653941216327904,185.91571428571424,184.83040000000005
2015-03-26,2015,3,26,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,12,2015-12,204.96,206.37,204.12,205.27,153067200.0,184.2,-0.002381446648884622,185.8321428571428,184.90380000000005
2015-03-27,2015,3,27,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,12,2015-12,205.13,205.95,204.9,205.74,118939000.0,184.62,0.0022896316053986343,185.72357142857138,185.00740000000005
2015-03-30,2015,3,30,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,13,2015-13,206.98,208.61,206.96,208.25,96180400.0,186.88,0.012199809726904043,185.99214285714282,185.18900000000005
2015-03-31,2015,3,31,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,13,2015-13,207.26,208.1,206.36,206.43,126768700.0,185.24,-0.008739483804360626,186.17428571428565,185.29120000000006
2015-04-01,2015,4,1,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,13,2015-13,206.39,206.42,204.51,205.7,137303600.0,184.59,-0.0035362353747260267,186.1435714285714,185.37280000000007
2015-04-02,2015,4,2,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,13,2015-13,205.62,206.98,205.4,206.44,86900900.0,185.25,0.0035973914076423696,186.24142857142851,185.44920000000005
2015-04-06,2015,4,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,14,2015-14,205.37,208.45,205.21,207.83,114368200.0,186.5,0.0067331833299741906,186.25285714285707,185.49680000000004
2015-04-07,2015,4,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,14,2015-14,207.86,208.76,207.24,207.28,81236300.0,186.0,-0.002646215191466239,186.26785714285708,185.55460000000002
2015-04-08,2015,4,8,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,14,2015-14,207.55,208.51,207.08,207.98,89351900.0,186.63,0.0033770250891322906,186.16857142857137,185.6164
2015-04-09,2015,4,9,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,14,2015-14,207.78,209.18,207.19,208.9,85548900.0,187.46,0.004423528873122251,186.18999999999997,185.74319999999997
2015-04-10,2015,4,10,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,14,2015-14,209.2,210.09,208.96,210.04,72722900.0,188.48,0.00545701403874066,186.16642857142853,185.93679999999998
2015-04-13,2015,4,13,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,15,2015-15,209.87,210.63,209.03,209.09,74436600.0,187.63,-0.004522951983718659,186.1078571428571,186.08039999999994
2015-04-14,2015,4,14,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,15,2015-15,208.85,209.71,208.1,209.49,75099900.0,187.99,0.001912989280981714,186.1507142857143,186.27659999999992
2015-04-15,2015,4,15,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,15,2015-15,210.05,211.04,209.95,210.43,99529300.0,188.83,0.004487180787963618,186.45000000000002,186.44539999999995
2015-04-16,2015,4,16,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,15,2015-15,210.03,210.98,209.79,210.37,68934900.0,188.78,-0.00028532717718332545,186.7771428571429,186.56099999999995
2015-04-17,2015,4,17,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,15,2015-15,208.94,209.23,207.01,207.95,191113200.0,186.61,-0.011503316915265516,186.91928571428576,186.64719999999997
2015-04-20,2015,4,20,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,16,2015-16,209.06,210.25,208.96,209.85,92189500.0,188.31,0.00913681924408527,187.02142857142863,186.73059999999998
2015-04-21,2015,4,21,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,16,2015-16,210.67,210.86,209.24,209.6,72559800.0,188.09,-0.0011913792854770788,187.22500000000005,186.8198
2015-04-22,2015,4,22,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,16,2015-16,210.01,210.85,208.9,210.63,78264600.0,189.01,0.004914227164257712,187.54071428571433,186.9438
2015-04-23,2015,4,23,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,16,2015-16,210.15,211.94,210.01,211.16,102585900.0,189.49,0.002516341689654311,187.84357142857147,187.0384
2015-04-24,2015,4,24,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,16,2015-16,211.66,211.97,211.11,211.65,61327400.0,189.93,0.002320626177706897,188.08857142857144,187.1396
2015-04-27,2015,4,27,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,17,2015-17,212.33,212.48,210.54,210.77,79358100.0,189.14,-0.004157943693822941,188.31285714285715,187.18959999999998
2015-04-28,2015,4,28,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,17,2015-17,210.74,211.5,209.33,211.44,86863500.0,189.74,0.003178714063694077,188.535,187.2362
2015-04-29,2015,4,29,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,17,2015-17,210.37,211.29,209.6,210.57,125684900.0,188.96,-0.0041145459085548675,188.64214285714283,187.2612
2015-04-30,2015,4,30,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,17,2015-17,209.88,210.35,207.62,208.46,161304900.0,187.06,-0.01002050954568423,188.54071428571427,187.248
2015-05-01,2015,5,1,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,17,2015-17,209.4,210.77,209.28,210.72,103399700.0,189.09,0.010841546817943026,188.64499999999998,187.278
2015-05-04,2015,5,4,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,18,2015-18,211.23,212.02,211.1,211.32,70927200.0,189.63,0.0028474077985694013,188.76214285714286,187.2962
2015-05-05,2015,5,5,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,18,2015-18,211.03,211.46,208.73,208.9,113326200.0,187.46,-0.0114519203611958,188.66428571428574,187.27159999999995
2015-05-06,2015,5,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,18,2015-18,209.56,209.93,206.76,208.04,135060200.0,186.69,-0.004116874733929743,188.51500000000001,187.22079999999997
2015-05-07,2015,5,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,18,2015-18,207.92,209.38,207.52,208.87,88244900.0,187.43,0.003989550061370473,188.5735714285714,187.1882
2015-05-08,2015,5,8,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,18,2015-18,210.88,211.86,210.78,211.62,155877300.0,189.9,0.013166091424578141,188.68714285714285,187.2094
2015-05-11,2015,5,11,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,19,2015-19,211.57,211.89,210.52,210.61,75708100.0,188.99,-0.004772664269500404,188.75142857142853,187.22519999999997
